predador	presa	trat	coldagua	densidade	npresas	mortas
pantala	culic	comp	-	+	3	0
pantala	culic	comp	-	+	3	2
pantala	culic	comp	-	+	3	1
pantala	culic	high	+	-	5	3
pantala	culic	high	+	-	5	1
pantala	culic	high	+	-	5	2
pantala	culic	high	+	-	5	2
pantala	culic	high	+	-	5	3
pantala	culic	high	+	-	5	1
pantala	culic	high	+	-	5	1
pantala	culic	low	-	-	5	2
pantala	culic	low	-	-	5	0
pantala	culic	low	-	-	5	1
pantala	culic	low	-	-	5	0
pantala	culic	low	-	-	5	0
pantala	culic	low	-	-	5	2
pantala	culic	low	-	-	5	1
pantala	culic	comp	-	+	5	2
pantala	culic	comp	-	+	5	2
pantala	culic	comp	-	+	5	2
pantala	culic	comp	-	+	5	3
pantala	culic	comp	-	+	5	4
pantala	culic	comp	-	+	5	2
pantala	culic	comp	-	+	5	2
pantala	culic	high	+	-	10	2
pantala	culic	high	+	-	10	3
pantala	culic	high	+	-	10	5
pantala	culic	high	+	-	10	2
pantala	culic	high	+	-	10	3
pantala	culic	high	+	-	10	4
pantala	culic	high	+	-	10	1
pantala	culic	low	-	-	10	2
pantala	culic	low	-	-	10	3
pantala	culic	low	-	-	10	4
pantala	culic	low	-	-	10	2
pantala	culic	low	-	-	10	1
pantala	culic	low	-	-	10	3
pantala	culic	low	-	-	10	3
pantala	culic	comp	-	+	10	2
pantala	culic	comp	-	+	10	4
pantala	culic	comp	-	+	10	4
pantala	culic	comp	-	+	10	2
pantala	culic	comp	-	+	10	2
pantala	culic	comp	-	+	10	1
pantala	culic	comp	-	+	10	3
pantala	culic	high	+	-	12	3
pantala	culic	high	+	-	12	2
pantala	culic	high	+	-	12	2
pantala	culic	high	+	-	12	3
pantala	culic	high	+	-	12	3
pantala	culic	high	+	-	12	2
pantala	culic	high	+	-	12	2
pantala	culic	low	-	-	12	2
pantala	culic	low	-	-	12	2
pantala	culic	low	-	-	12	2
pantala	culic	low	-	-	12	2
pantala	culic	low	-	-	12	1
pantala	culic	low	-	-	12	1
pantala	culic	low	-	-	12	3
pantala	culic	comp	-	+	12	1
pantala	culic	comp	-	+	12	3
pantala	culic	comp	-	+	12	3
pantala	culic	comp	-	+	12	3
pantala	culic	comp	-	+	12	5
pantala	culic	comp	-	+	12	5
pantala	culic	comp	-	+	12	2
pantala	culic	high	+	-	15	9
pantala	culic	high	+	-	15	1
pantala	culic	high	+	-	15	1
pantala	culic	high	+	-	15	6
pantala	culic	high	+	-	15	4
pantala	culic	high	+	-	15	9
pantala	culic	high	+	-	15	5
pantala	culic	low	-	-	15	4
pantala	culic	low	-	-	15	3
pantala	culic	low	-	-	15	3
pantala	culic	low	-	-	15	1
pantala	culic	low	-	-	15	4
pantala	culic	low	-	-	15	2
pantala	culic	low	-	-	15	3
pantala	culic	comp	-	+	15	1
pantala	culic	comp	-	+	15	2
pantala	culic	comp	-	+	15	2
pantala	culic	comp	-	+	15	9
pantala	culic	comp	-	+	15	2
pantala	culic	comp	-	+	15	6
pantala	culic	comp	-	+	15	8
pantala	culic	high	+	-	20	5
pantala	culic	high	+	-	20	2
pantala	culic	high	+	-	20	7
pantala	culic	high	+	-	20	3
pantala	culic	high	+	-	20	3
pantala	culic	high	+	-	20	8
pantala	culic	high	+	-	20	2
pantala	culic	low	-	-	20	6
pantala	culic	low	-	-	20	6
pantala	culic	low	-	-	20	2
pantala	culic	low	-	-	20	3
pantala	culic	low	-	-	20	1
pantala	culic	low	-	-	20	1
pantala	culic	low	-	-	20	1
pantala	culic	comp	-	+	20	6
pantala	culic	comp	-	+	20	3
pantala	culic	comp	-	+	20	3
pantala	culic	comp	-	+	20	6
pantala	culic	comp	-	+	20	3
pantala	culic	comp	-	+	20	5
pantala	culic	comp	-	+	20	4
pantala	culic	high	+	-	25	4
pantala	culic	high	+	-	25	2
pantala	culic	high	+	-	25	7
pantala	culic	high	+	-	25	3
pantala	culic	high	+	-	25	3
pantala	culic	high	+	-	25	5
pantala	culic	high	+	-	25	4
pantala	culic	low	-	-	25	6
pantala	culic	low	-	-	25	4
pantala	culic	low	-	-	25	4
pantala	culic	low	-	-	25	4
pantala	culic	low	-	-	25	2
pantala	culic	low	-	-	25	2
pantala	culic	low	-	-	25	1
pantala	culic	comp	-	+	25	4
pantala	culic	comp	-	+	25	5
pantala	culic	comp	-	+	25	5
pantala	culic	comp	-	+	25	5
pantala	culic	comp	-	+	25	4
pantala	culic	comp	-	+	25	5
pantala	culic	comp	-	+	25	6
pantala	culic	high	+	-	30	9
pantala	culic	high	+	-	30	6
pantala	culic	high	+	-	30	7
pantala	culic	high	+	-	30	3
pantala	culic	high	+	-	30	3
pantala	culic	high	+	-	30	6
pantala	culic	high	+	-	30	3
pantala	culic	low	-	-	30	4
pantala	culic	low	-	-	30	2
pantala	culic	low	-	-	30	2
pantala	culic	low	-	-	30	6
pantala	culic	low	-	-	30	3
pantala	culic	low	-	-	30	9
pantala	culic	low	-	-	30	7
pantala	culic	comp	-	+	30	7
pantala	culic	comp	-	+	30	4
pantala	culic	comp	-	+	30	3
pantala	culic	comp	-	+	30	5
pantala	culic	comp	-	+	30	2
pantala	culic	comp	-	+	30	1
pantala	culic	comp	-	+	30	6

